size, multithread
10, 347
10010, 381
20010, 366
30010, 373
40010, 368
50010, 368
60010, 369
70010, 368
80010, 368
90010, 369
100010, 385
110010, 382
120010, 382
130010, 382
140010, 384
150010, 384
160010, 400
170010, 384
180010, 399
190010, 400
200010, 399
210010, 396
220010, 395
230010, 395
240010, 415
250010, 484
260010, 510
270010, 398
280010, 398
290010, 397
300010, 399
310010, 412
320010, 411
330010, 412
340010, 412
350010, 415
360010, 416
370010, 414
380010, 414
390010, 415
400010, 414
410010, 415
420010, 428
430010, 415
440010, 415
450010, 414
460010, 431
470010, 431
480010, 432
490010, 431
500010, 432
510010, 430
520010, 428
530010, 428
540010, 430
550010, 432
560010, 431
570010, 431
580010, 432
590010, 431
600010, 447
610010, 449
620010, 445
630010, 445
640010, 446
650010, 447
660010, 447
670010, 449
680010, 448
690010, 485
700010, 501
710010, 448
720010, 445
730010, 497
740010, 447
750010, 460
760010, 464
770010, 464
780010, 465
790010, 465
800010, 465
810010, 464
820010, 464
830010, 465
840010, 465
850010, 462
860010, 464
870010, 484
880010, 485
890010, 485
900010, 485
910010, 484
920010, 485
930010, 484
940010, 482
950010, 481
960010, 483
970010, 485
980010, 485
990010, 485
