size, thrust, singlethread, multithread
10, 355, 369, 368
110, 361, 369, 346
210, 368, 365, 346
310, 349, 369, 383
410, 366, 379, 349
510, 365, 399, 369
610, 382, 395, 366
710, 385, 429, 369
810, 345, 449, 368
910, 362, 469, 382
1010, 362, 499, 370
1110, 362, 515, 369
1210, 382, 562, 350
1310, 368, 579, 350
1410, 376, 621, 349
1510, 349, 649, 349
1610, 358, 706, 369
1710, 382, 729, 350
1810, 368, 779, 348
1910, 369, 828, 376
2010, 356, 868, 382
2110, 365, 913, 368
2210, 365, 982, 346
2310, 349, 1015, 369
2410, 366, 1082, 345
2510, 369, 1146, 369
2610, 366, 1195, 349
2710, 368, 1262, 369
2810, 382, 1312, 350
2910, 368, 1396, 369
3010, 382, 1465, 368
3110, 360, 1549, 349
3210, 368, 1629, 349
3310, 368, 1695, 369
3410, 368, 1779, 346
3510, 368, 1845, 369
3610, 381, 1945, 369
3710, 384, 2027, 349
3810, 369, 2128, 369
3910, 380, 2214, 368
4010, 383, 2311, 349
4110, 369, 2398, 383
4210, 372, 2492, 383
4310, 382, 2612, 349
4410, 368, 2713, 368
4510, 382, 2828, 369
4610, 382, 2928, 349
4710, 370, 3028, 369
4810, 366, 3161, 349
4910, 368, 3228, 369
