size, singlethread
10, 369
110, 369
210, 365
310, 369
410, 379
510, 399
610, 395
710, 429
810, 449
910, 469
1010, 499
1110, 515
1210, 562
1310, 579
1410, 621
1510, 649
1610, 706
1710, 729
1810, 779
1910, 828
2010, 868
2110, 913
2210, 982
2310, 1015
2410, 1082
2510, 1146
2610, 1195
2710, 1262
2810, 1312
2910, 1396
3010, 1465
3110, 1549
3210, 1629
3310, 1695
3410, 1779
3510, 1845
3610, 1945
3710, 2027
3810, 2128
3910, 2214
4010, 2311
4110, 2398
4210, 2492
4310, 2612
4410, 2713
4510, 2828
4610, 2928
4710, 3028
4810, 3161
4910, 3228
