size, thrust
10, 356
110, 361
210, 362
310, 363
410, 382
510, 349
610, 345
710, 346
810, 346
910, 368
1010, 361
1110, 370
1210, 382
1310, 348
1410, 354
1510, 382
1610, 381
1710, 369
1810, 368
1910, 368
2010, 349
2110, 369
2210, 378
2310, 349
2410, 345
2510, 382
2610, 365
2710, 370
2810, 378
2910, 382
3010, 369
3110, 346
3210, 366
3310, 365
3410, 382
3510, 388
3610, 369
3710, 387
3810, 368
3910, 366
4010, 368
4110, 386
4210, 382
4310, 391
4410, 384
4510, 368
4610, 373
4710, 382
4810, 369
4910, 378
